CODE;DESCRIP;SUPNO;DEPT;TAXIND;CPRICE;AVECOST;SPRICE;SPRICE1;SPRICE2;MUP;MUP1;MUP2;REORD;QOH;QSOLDM;QSOLDY;VSOLDM;VSOLDY;GPM;GPY;QTYBYSTOCK;SCOUNTFLAG;CLOSTOCK;DATELSOLD;DATELPURCH;LASTSUP;SPECSTDATE;SPECENDATE;SPPRICE1;SPPRICE2;SPPRICE3;BFWDQTY;BFWDVAL;QTYSORD;QTYPORD;QTYPURCHM;QTYPURCHY;NEWPR;NEWPR1;NEWPR2;NEWPRDATE;SELLQTY;SUPCODE;MAXDISC;WEIGHT;ALLOWNEGSL;BIN;JCBFWDVAL;LBBFWDVAL;RFBFWDVAL;PACK;KVI
551971;750 16 G/Y G22 (*);17;990;1;3977.78;1384.64;2550.0;2550.0;0.0;-35.89;-35.89;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2010/02/25;2010/02/13;17;1960/01/01;1960/01/01;2550.0;2550.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;77176;0.0;0.0;Y;0;0.0;0.0;0.0;;
550790;750 16 G/Y G90(*);17;990;1;2557.7;890.33;3080.0;3080.0;0.0;20.42;20.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;1960/01/01;1960/01/01;2335.0;2335.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;550790;0.0;0.0;Y;0;0.0;0.0;0.0;;
555388;235/85 16 G/Y WRL AT/R;17;28;1;3880.26;1008.0;2580.0;2580.0;0.0;-33.51;-33.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;2010/06/09;2009/06/15;17;1960/01/01;1960/01/01;2580.0;2580.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
520478;235/70 16 G/Y EAG RS-A 104H V;17;21;1;0.0;0.0;3095.0;3095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;520478;0.0;0.0;Y;0;0.0;0.0;0.0;;
514900;265/50 20 G/Y 106V TL EAG R;17;21;1;0.0;0.0;6920.0;6920.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;514900;0.0;0.0;Y;0;0.0;0.0;0.0;;
559956;265/65 17 G/Y WRL SRA;17;28;1;6606.15;1716.14;3765.0;3765.0;0.0;-43.01;-43.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;17;1960/01/01;1960/01/01;3795.0;3795.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;;0.0;0.0;Y;0;0.0;0.0;0.0;;
145-884M;145-884M NISSAN ALMERA SEDAN 2;162;12;1;214.0;226.0;714.76;714.76;226.0;234.0;234.0;5.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;452.0;226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;145-884M;0.0;0.0;Y;0;0.0;0.0;0.0;;
145-888M;145-888M NISSAN SENTRA 92-;162;12;1;181.9;207.0;607.55;607.55;207.0;234.0;234.0;13.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;414.0;207.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;145-888M;0.0;0.0;Y;0;0.0;0.0;0.0;;
148-786M;148-786M UNO FIRE/PACER 90-;162;12;1;185.4;186.0;619.24;619.24;186.0;234.0;234.0;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;372.0;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;148-786M;0.0;0.0;Y;0;0.0;0.0;0.0;;
148-788M;148-788M UNO FIRE/PACER 90-;162;12;1;164.8;140.0;550.43;550.43;140.0;234.0;234.0;-15.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;280.0;140.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;148-788M;0.0;0.0;Y;0;0.0;0.0;0.0;;
